Datetime,open,high,low,close
2025-09-27 00:00:00+00:00,109702.3671875,109703.78125,109546.03125,109644.4765625
2025-09-27 01:00:00+00:00,109691.515625,109703.34375,109418.6953125,109475.515625
2025-09-27 02:00:00+00:00,109499.6328125,109529.1171875,109399.9765625,109468.6484375
2025-09-27 03:00:00+00:00,109479.5546875,109772.25,109479.5546875,109595.734375
2025-09-27 04:00:00+00:00,109597.8203125,109758.765625,109595.3125,109707.859375
2025-09-27 05:00:00+00:00,109709.3125,109731.0859375,109659.5859375,109690.2265625
2025-09-27 06:00:00+00:00,109658.1875,109675.4453125,109563.7578125,109595.2578125
2025-09-27 07:00:00+00:00,109599.28125,109625.1640625,109393.5625,109453.53125
2025-09-27 08:00:00+00:00,109444.7265625,109444.7265625,109316.0234375,109328.6875
2025-09-27 09:00:00+00:00,109325.609375,109391.921875,109160.3515625,109358.0546875
2025-09-27 10:00:00+00:00,109355.65625,109504.015625,109322.7890625,109477.4765625
2025-09-27 11:00:00+00:00,109479.359375,109486.046875,109331.9921875,109351.46875
2025-09-27 12:00:00+00:00,109348.203125,109491.625,109289.09375,109491.625
2025-09-27 13:00:00+00:00,109427.171875,109452.640625,109379.6171875,109380.9609375
2025-09-27 14:00:00+00:00,109372.265625,109422.734375,109314.875,109331.796875
2025-09-27 15:00:00+00:00,109344.390625,109462.671875,109266.921875,109434.171875
2025-09-27 16:00:00+00:00,109435.515625,109467.2578125,109375.6640625,109427.1796875
2025-09-27 17:00:00+00:00,109416.078125,109423.7109375,109306.4375,109415.4609375
2025-09-27 18:00:00+00:00,109425.1171875,109476.515625,109404.171875,109476.515625
2025-09-27 19:00:00+00:00,109473.625,109476.5859375,109421.3046875,109464.71875
2025-09-27 20:00:00+00:00,109470.015625,109473.2734375,109407.6796875,109437.5078125
2025-09-27 21:00:00+00:00,109440.53125,109518.453125,109427.4375,109492.390625
2025-09-27 22:00:00+00:00,109495.9375,109752.171875,109495.9375,109649.1875
2025-09-27 23:00:00+00:00,109643.1015625,109724.53125,109510.5703125,109663.03125
2025-09-28 00:00:00+00:00,109687.5703125,109811.4921875,109611.7890625,109647.3125
2025-09-28 01:00:00+00:00,109661.9375,109688.4921875,109408.75,109411.453125
2025-09-28 02:00:00+00:00,109417.7578125,109563.828125,109406.2109375,109492.578125
2025-09-28 03:00:00+00:00,109489.7890625,109554.8125,109468.5,109487.4765625
2025-09-28 04:00:00+00:00,109484.078125,109507.7734375,109407.9453125,109421.5859375
2025-09-28 05:00:00+00:00,109427.8203125,109456.5234375,109385.8046875,109401.234375
2025-09-28 06:00:00+00:00,109398.78125,109460.21875,109325.9296875,109439.953125
2025-09-28 07:00:00+00:00,109446.8984375,109575.4765625,109404.40625,109539.3828125
2025-09-28 08:00:00+00:00,109529.5625,109599.5546875,109499.71875,109563.2734375
